season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Tomas Bugg,14,5,13,0,0,0,4
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Jeremy Cameron,6,5,2,0,0,0,1
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Stephen Coniglio,6,3,11,0,0,0,1
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Chad Cornes,17,8,7,0,0,0,6
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Phil Davis,12,5,5,0,0,0,0
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Israel Folau,1,1,2,0,0,7,1
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Jonathan Giles,6,3,6,1,0,26,2
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Toby Greene,12,3,15,0,0,0,5
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Curtly Hampton,14,7,3,0,3,0,1
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Jack Hombsch,9,8,9,0,0,0,1
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Will Hoskin-Elliott,12,4,4,1,0,0,2
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Adam Kennedy,17,11,11,0,1,0,2
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,James McDonald,9,6,14,1,0,0,6
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Tim Mohr,9,7,7,0,0,0,3
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Rhys Palmer,13,4,12,0,0,1,7
2012,1,2012-03-24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney,Dylan Shiel,4,1,7,0,0,0,3
