season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Joel Bowden,9,2,6,1,1,0,0
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Leon Cameron,14,1,3,0,0,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Wayne Campbell,22,7,7,0,0,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Nick Daffy,19,3,5,0,0,0,4
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Marc Dragicevic,5,1,1,2,0,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Brendon Gale,8,4,3,0,0,22,3
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Darren Gaspar,14,7,5,0,0,1,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Ben Harrison,8,2,2,0,1,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Ben Holland,11,5,3,3,1,1,3
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Aaron James,3,0,0,0,0,0,0
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Andrew Kellaway,7,4,3,0,0,0,2
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Duncan Kellaway,10,3,9,1,0,0,5
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Clinton King,7,1,4,0,0,0,4
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Matthew Knights,15,3,8,1,0,0,2
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Mark Merenda,2,0,0,0,1,0,2
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Brad Ottens,7,4,5,0,0,10,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Matthew Richardson,11,6,0,3,0,0,0
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Matthew Rogers,9,3,1,1,2,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,John Rombotis,0,0,2,0,0,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Clay Sampson,5,0,0,1,0,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Greg Tivendale,4,0,2,0,2,0,2
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Richmond,Jason Torney,12,6,4,1,1,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Cameron Bruce,8,2,5,1,3,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Scott Chisholm,2,0,6,0,0,0,0
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,James Cook,5,5,0,2,2,0,0
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Jeff Farmer,7,3,5,2,1,0,3
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Steven Febey,17,3,3,2,1,0,0
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Brent Grgic,4,1,1,1,0,0,0
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Anthony Ingerson,9,4,1,0,0,1,0
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Travis Johnstone,10,3,5,2,0,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Andrew Leoncelli,7,1,5,0,0,1,2
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Anthony McDonald,12,3,7,0,0,0,2
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,James McDonald,12,4,2,0,0,0,2
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,David Neitz,3,3,2,0,0,0,0
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Alistair Nicholson,4,4,5,0,0,2,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Stephen Powell,15,1,9,0,1,0,2
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Guy Rigoni,14,3,6,0,0,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Russell Robertson,6,2,1,1,0,0,0
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,David Schwarz,11,3,3,0,4,3,4
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Troy Simmonds,3,1,3,0,0,2,0
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Peter Walsh,3,1,5,0,0,0,1
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Jeff White,9,6,8,0,0,24,5
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Shane Woewodin,8,2,4,0,0,0,3
2000,1,2000-03-08,M.C.G.,Richmond,Melbourne,Melbourne,Adem Yze,14,4,3,2,0,0,0
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Steven Alessio,4,3,3,0,1,9,4
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Paul Barnard,5,2,3,1,2,0,1
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,John Barnes,11,9,8,0,0,16,1
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Darren Bewick,8,2,5,3,1,0,3
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Justin Blumfield,9,3,7,0,1,0,2
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Blake Caracella,9,4,9,0,0,1,0
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Sean Denham,14,2,5,0,0,0,4
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Dustin Fletcher,10,1,6,1,0,1,0
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Damien Hardwick,16,2,8,0,0,0,3
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Chris Heffernan,11,3,8,1,0,0,1
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,James Hird,14,6,5,4,1,0,2
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Jason Johnson,17,3,4,2,2,0,0
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Mark Johnson,13,7,9,0,0,0,2
2000,1,2000-03-09,Docklands,Essendon,Port Adelaide,Essendon,Matthew Lloyd,11,6,0,7,2,0,2
