season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Rupert Betheras,2,2,3,1,0,0,1
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Nathan Buckley,25,5,6,1,1,0,7
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,James Clement,6,4,6,0,0,0,0
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Leon Davis,8,2,3,2,0,1,1
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Alan Didak,12,4,3,2,4,1,1
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Brodie Holland,0,0,1,0,0,0,0
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Ben Johnson,13,7,6,0,0,0,2
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Tarkyn Lockyer,9,5,7,0,1,0,3
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Matthew Lokan,5,5,5,0,0,2,2
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Ryan Lonie,5,1,4,0,0,1,0
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Mark McGough,13,5,4,1,1,0,3
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Steven McKee,11,5,9,0,0,8,2
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Jarrod Molloy,6,3,2,2,0,2,5
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Shane OBree,12,5,3,2,1,0,4
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Anthony Rocca,6,3,2,0,1,3,3
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Heath Scotland,2,2,5,0,0,0,0
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Rhyce Shaw,6,5,3,0,0,0,1
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Chris Tarrant,6,5,0,0,1,0,1
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Shane Wakelin,10,5,3,0,0,0,1
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Tristen Walker,3,2,7,0,0,0,3
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Andrew Williams,16,10,7,1,1,0,1
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Collingwood,Shane Woewodin,14,8,10,1,1,1,4
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Richmond,Justin Blumfield,7,1,4,1,0,0,0
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Richmond,Joel Bowden,16,3,8,0,1,0,4
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Richmond,Leon Cameron,7,4,0,0,0,0,0
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Richmond,Wayne Campbell,21,9,9,1,0,0,2
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Richmond,Mark Coughlan,10,2,11,1,1,1,4
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Richmond,Aaron Fiora,7,6,7,0,0,0,1
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Richmond,Darren Gaspar,4,3,5,1,0,0,1
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Richmond,Ray Hall,10,6,4,2,2,14,4
2003,1,2003-03-28,M.C.G.,Collingwood,Richmond,Richmond,Rory Hilton,10,4,2,1,2,0,2
