season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Clint Bartram,2,1,3,0,0,0,3
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Matthew Bate,5,3,14,0,0,0,5
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Daniel Bell,8,2,6,0,0,0,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Cameron Bruce,6,5,12,1,0,0,4
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Nathan Carroll,7,6,7,0,0,0,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Aaron Davey,4,0,5,0,1,0,5
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Brad Green,9,5,9,1,0,0,3
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Ben Holland,7,11,14,0,0,0,0
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Mark Jamar,2,1,5,0,0,9,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Chris Johnson,9,5,4,0,0,0,3
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Travis Johnstone,12,4,6,0,0,0,5
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Nathan Jones,8,2,10,0,0,0,2
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,James McDonald,13,6,8,0,0,0,5
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Brock McLean,4,2,3,0,0,1,3
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Brad Miller,5,1,5,0,0,0,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Brent Moloney,12,3,10,0,0,0,0
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,David Neitz,9,4,1,3,2,0,0
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Russell Robertson,10,5,1,3,1,0,0
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Daniel Ward,12,2,7,0,0,0,0
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Matthew Whelan,3,3,1,0,0,0,0
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Jeff White,10,7,5,1,0,13,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,Melbourne,Adem Yze,10,2,9,0,1,0,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Jayden Attard,1,1,7,0,0,0,2
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Steven Baker,11,4,6,2,0,0,4
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Luke Ball,8,3,6,0,1,0,0
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Jason Blake,6,5,7,0,0,0,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Matthew Clarke,5,4,10,0,0,12,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Xavier Clarke,15,7,5,1,1,0,6
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Nick Dal Santo,14,6,5,0,0,0,6
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Aaron Fiora,16,13,6,1,1,0,3
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Leigh Fisher,12,5,5,0,0,0,5
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Sam Fisher,10,3,4,0,0,0,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Fraser Gehrig,16,10,3,4,3,0,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Brendon Goddard,15,13,7,1,0,0,3
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Jason Gram,12,4,3,0,0,0,0
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Robert Harvey,14,11,6,1,0,0,0
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Lenny Hayes,12,6,5,0,1,0,4
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Justin Koschitzke,10,9,2,2,0,1,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Matt Maguire,5,2,5,0,0,0,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Andrew McQualter,5,1,0,1,1,0,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Stephen Milne,10,5,3,0,2,0,1
2007,1,2007-03-30,M.C.G.,Melbourne,St Kilda,St Kilda,Leigh Montagna,17,5,7,0,2,0,7
