season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Michael Braun,6,2,5,0,1,0,2
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Daniel Chick,3,0,8,0,0,0,3
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Ben Cousins,18,4,9,1,0,0,1
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Dean Cox,14,8,12,2,0,24,3
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Andrew Embley,15,6,4,2,2,0,1
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Chad Fletcher,10,6,15,0,0,0,0
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Darren Glass,2,4,7,0,0,0,1
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Jaymie Graham,3,1,5,0,0,1,0
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Ashley Hansen,7,7,2,0,2,0,1
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Adam Hunter,11,8,11,0,0,0,2
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Rowan Jones,9,3,14,0,1,0,6
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Chris Judd,17,3,6,0,2,0,4
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Daniel Kerr,14,4,16,1,1,0,3
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Quinten Lynch,3,2,4,1,1,1,1
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Mark Nicoski,11,3,6,0,1,0,1
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Ashley Sampi,4,1,4,1,2,0,2
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Mark Seaby,1,0,1,0,0,15,2
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Adam Selwood,6,4,10,1,0,0,5
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Brent Staker,7,7,6,1,1,0,4
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Tyson Stenglein,10,6,6,1,0,0,4
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,Beau Waters,8,4,4,0,1,0,2
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,West Coast,David Wirrpanda,20,3,6,0,0,0,3
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,St Kilda,Cain Ackland,5,3,2,0,0,6,1
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,St Kilda,Steven Baker,7,4,2,0,0,0,1
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,St Kilda,Luke Ball,6,3,5,0,0,0,6
2006,1,2006-03-30,Subiaco,West Coast,St Kilda,St Kilda,Jason Blake,8,6,10,0,0,13,2
