season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Liam Baker,10,5,5,0,0,0,1
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Noah Balta,6,3,2,0,0,0,1
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Shai Bolton,15,6,3,1,1,0,4
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Nathan Broad,11,7,2,0,0,0,3
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Trent Cotchin,9,3,9,0,0,0,3
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Jack Graham,11,1,9,0,2,0,9
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Dylan Grimes,8,5,4,0,0,0,2
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Jacob Hopper,12,3,6,0,0,0,3
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Tom Lynch,9,6,1,3,3,1,0
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Rhyan Mansell,5,4,2,0,0,0,1
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Dustin Martin,15,6,8,1,0,0,0
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Kamdyn McIntosh,11,5,6,0,0,0,3
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Ben Miller,5,4,4,0,0,5,1
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Toby Nankervis,8,1,6,0,0,37,11
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Marlion Pickett,4,2,6,0,0,0,2
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Dion Prestia,10,4,13,0,1,0,1
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Jack Riewoldt,9,6,3,1,0,1,5
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Daniel Rioli,17,7,10,0,0,0,4
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Maurice Rioli,7,2,4,2,0,0,3
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Jack Ross,4,2,0,0,0,0,0
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Jayden Short,15,6,2,0,0,0,3
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Tim Taranto,18,3,14,0,2,0,8
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Richmond,Nick Vlastuin,9,4,2,0,1,0,2
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Blake Acres,10,5,6,0,0,0,2
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Adam Cerra,14,6,7,0,0,0,3
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Lachlan Cowan,6,2,2,0,0,0,2
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Patrick Cripps,9,2,16,0,1,0,6
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Charlie Curnow,8,1,2,3,0,0,1
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Ed Curnow,12,6,2,0,0,0,4
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Tom De Koning,7,2,6,0,1,24,3
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Sam Docherty,23,8,2,1,0,0,2
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Zac Fisher,5,1,2,1,0,0,0
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,George Hewett,10,5,18,0,0,0,4
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Oliver Hollands,5,2,6,0,1,0,3
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Matthew Kennedy,13,5,9,0,1,0,5
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Jack Martin,3,1,3,0,1,0,3
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Mitch McGovern,17,7,4,0,0,0,4
2023,1,2023-03-16,M.C.G.,Richmond,Carlton,Carlton,Harry McKay,11,10,2,1,2,0,1
