season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,David Astbury,9,3,5,0,0,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Liam Baker,6,2,10,0,0,0,1
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Shai Bolton,11,6,2,3,1,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Nathan Broad,8,4,1,0,0,0,1
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Josh Caddy,10,5,5,0,0,0,3
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Jason Castagna,5,1,3,3,0,0,3
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Trent Cotchin,11,3,8,0,2,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Shane Edwards,7,1,8,1,0,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Jack Graham,2,0,6,0,0,0,1
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Dylan Grimes,5,5,2,0,0,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Kane Lambert,6,3,8,1,1,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Tom Lynch,4,0,5,0,1,0,1
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Dustin Martin,12,3,12,1,1,0,4
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Toby Nankervis,1,1,6,0,0,16,1
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Marlion Pickett,8,1,6,0,0,0,5
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Dion Prestia,11,2,14,1,0,0,5
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Jack Riewoldt,5,5,1,3,1,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Daniel Rioli,8,3,4,3,0,0,3
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Jayden Short,13,5,2,0,0,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Ivan Soldo,4,2,6,0,1,25,3
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Sydney Stack,3,0,7,0,0,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Richmond,Nick Vlastuin,6,2,1,0,0,0,3
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Levi Casboult,11,4,6,2,0,16,0
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Patrick Cripps,15,3,16,0,0,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,David Cuningham,7,3,1,2,1,0,1
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Ed Curnow,10,2,6,0,0,0,3
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Sam Docherty,17,7,9,0,0,0,1
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Paddy Dow,4,3,3,0,2,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Zac Fisher,10,3,7,0,0,0,0
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Michael Gibbons,3,1,4,0,0,0,0
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Liam Jones,5,4,4,0,1,0,0
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Matthew Kreuzer,0,1,1,0,0,7,1
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Jack Martin,11,6,6,4,1,0,1
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Mitch McGovern,4,4,3,1,1,3,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Marc Murphy,12,8,14,0,0,0,0
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Nic Newman,11,2,2,0,0,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Jack Newnes,9,2,3,1,0,0,1
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Sam Petrevski-Seton,11,0,8,0,0,0,2
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Lachie Plowman,5,1,2,0,1,0,0
2020,1,2020-03-19,M.C.G.,Richmond,Carlton,Carlton,Will Setterfield,4,1,2,0,0,0,2
