season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Toby Bedford,5,3,4,0,1,0,2
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Jake Bowey,8,2,1,1,0,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Angus Brayshaw,12,6,11,0,0,0,3
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Ben Brown,9,8,4,3,3,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Bayley Fritsch,8,4,1,2,2,0,1
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Max Gawn,11,4,3,1,0,34,1
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,James Harmes,6,1,11,1,0,0,5
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Jayden Hunt,7,4,4,0,0,0,1
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Luke Jackson,3,5,9,1,1,10,4
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,James Jordon,10,4,10,0,0,0,2
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Ed Langdon,12,3,10,1,0,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Steven May,13,7,1,0,0,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Tom McDonald,10,5,2,0,1,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Alex Neal-Bullen,10,3,8,0,1,0,7
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Clayton Oliver,19,6,13,0,0,0,5
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Christian Petracca,24,8,14,2,1,0,2
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Kysaiah Pickett,5,2,0,1,0,0,2
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Christian Salem,0,0,3,0,0,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Joel Smith,10,5,1,0,0,0,2
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Charlie Spargo,8,2,6,0,1,0,2
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Tom Sparrow,6,5,7,0,0,0,2
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Adam Tomlinson,6,4,2,0,0,0,1
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Melbourne,Jack Viney,11,5,12,1,0,0,4
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Marcus Bontempelli,13,7,4,1,0,0,7
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Zaine Cordy,1,0,2,0,0,1,3
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Hayden Crozier,14,12,5,1,0,0,3
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Bailey Dale,17,6,8,1,0,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Caleb Daniel,14,6,12,0,0,0,2
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Josh Dunkley,14,4,15,0,1,0,5
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Tim English,16,6,4,0,1,18,2
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Ryan Gardner,6,3,1,0,0,0,1
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Mitch Hannan,5,0,3,1,0,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Lachie Hunter,7,4,6,0,0,0,3
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Alex Keath,6,1,3,0,0,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Tom Liberatore,8,4,6,0,0,0,4
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Jack Macrae,19,5,20,0,0,0,3
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Aaron Naughton,12,6,2,4,1,1,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Ed Richards,6,2,8,0,0,0,4
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Josh Schache,3,2,3,0,0,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Bailey Smith,20,7,13,0,1,0,11
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Roarke Smith,7,5,9,0,0,0,1
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Adam Treloar,16,5,10,2,0,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Jamarra Ugle-Hagan,0,0,0,0,0,0,0
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Laitham Vandermeer,6,2,11,0,0,0,2
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Cody Weightman,3,1,2,1,0,0,1
2022,1,2022-03-16,M.C.G.,Melbourne,Western Bulldogs,Western Bulldogs,Bailey Williams,11,4,5,0,0,0,1
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Adam Cerra,14,2,16,1,1,0,6
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Patrick Cripps,17,5,13,3,0,0,2
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Charlie Curnow,5,2,3,0,2,1,1
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Tom De Koning,8,3,1,0,2,8,2
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Sam Docherty,15,6,11,1,0,0,1
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Corey Durdin,7,3,7,2,1,0,1
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Zac Fisher,8,0,8,1,0,0,1
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,George Hewett,10,5,18,1,0,0,2
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Matthew Kennedy,19,3,14,1,2,0,4
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Jack Martin,6,5,7,1,1,0,3
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Oscar McDonald,11,6,4,0,0,0,0
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Mitch McGovern,11,5,3,0,1,0,1
2022,1,2022-03-17,M.C.G.,Carlton,Richmond,Carlton,Harry McKay,6,5,3,1,1,0,3
