season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Jake Aarts,7,2,5,2,0,0,2
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,David Astbury,4,4,5,0,0,2,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Liam Baker,4,0,11,0,0,0,0
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Noah Balta,10,4,1,0,1,3,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Shai Bolton,13,2,12,1,1,0,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Nathan Broad,4,3,5,0,0,0,0
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Josh Caddy,12,4,5,1,1,0,2
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Jason Castagna,8,4,5,2,2,0,0
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Shane Edwards,11,2,16,0,0,0,3
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Jack Graham,22,5,11,0,1,0,3
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Dylan Grimes,4,2,6,0,0,0,2
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Kane Lambert,13,6,15,0,1,0,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Tom Lynch,6,4,5,1,1,1,0
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Dustin Martin,19,7,12,2,2,0,4
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Kamdyn McIntosh,8,3,5,0,0,0,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Toby Nankervis,4,0,8,0,0,27,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Marlion Pickett,7,5,6,0,0,0,3
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Dion Prestia,12,3,13,0,1,0,4
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Jack Riewoldt,9,4,1,4,2,0,5
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Daniel Rioli,6,4,4,2,1,0,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Jack Ross,6,2,2,0,0,0,4
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Jayden Short,21,5,2,0,0,0,3
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Richmond,Nick Vlastuin,6,2,5,0,0,0,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Levi Casboult,7,3,1,1,0,1,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Patrick Cripps,8,2,20,0,1,0,3
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Ed Curnow,16,8,13,0,0,0,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Sam Docherty,23,5,1,0,0,0,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Paddy Dow,10,0,8,1,1,0,3
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Zac Fisher,10,3,10,0,2,0,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Lachie Fogarty,12,4,8,0,1,0,2
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Michael Gibbons,8,7,7,2,0,0,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Liam Jones,9,2,1,0,0,0,0
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Oscar McDonald,8,3,1,2,1,0,2
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Harry McKay,7,6,3,2,3,0,0
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Marc Murphy,8,4,3,0,0,0,3
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Jack Newnes,14,10,13,0,0,0,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Lochie OBrien,7,1,2,1,0,0,4
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Sam Petrevski-Seton,12,3,3,0,0,0,1
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Marc Pittonet,4,3,5,0,0,33,0
2021,1,2021-03-18,M.C.G.,Richmond,Carlton,Carlton,Lachie Plowman,8,3,1,1,0,0,1
