season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Dennis Armfield,1,2,5,1,0,0,1
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Levi Casboult,5,4,5,1,1,11,2
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Patrick Cripps,10,3,9,0,0,0,5
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Charlie Curnow,7,4,1,0,0,0,5
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Ed Curnow,13,5,6,0,0,0,4
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Sam Docherty,18,6,6,0,0,0,1
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Bryce Gibbs,14,4,12,1,1,0,6
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Matthew Kreuzer,11,4,4,2,0,39,4
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Harrison Macreadie,3,1,4,0,0,0,4
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Caleb Marchbank,15,8,4,0,0,0,2
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Marc Murphy,21,6,14,0,0,0,7
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Sam Petrevski-Seton,7,2,4,0,0,0,7
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Jarrod Pickett,2,2,3,0,0,0,3
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Lachie Plowman,12,10,8,0,0,0,1
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Sam Rowe,6,1,6,0,0,0,1
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Jack Silvagni,8,5,3,2,2,0,1
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Kade Simpson,22,7,11,0,0,0,3
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Billie Smedts,8,5,9,0,0,0,1
2017,1,2017-03-23,M.C.G.,Carlton,Richmond,Carlton,Dale Thomas,12,6,5,1,0,0,1
