season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Joel Bowden,7,4,8,0,0,0,1
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Andrew Browne,0,0,4,0,0,3,1
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Nathan Brown,12,2,6,0,1,0,1
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Ben Cousins,6,3,6,0,0,0,2
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Brett Deledio,12,7,9,0,1,0,2
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Shane Edwards,3,1,6,0,0,1,2
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Nathan Foley,10,1,21,0,0,0,6
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Daniel Jackson,5,2,5,0,0,0,3
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Luke McGuane,5,7,9,0,0,0,2
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Jordan McMahon,4,1,7,0,0,0,4
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Kelvin Moore,3,3,6,0,0,0,4
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Mitch Morton,13,8,2,4,1,0,1
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Chris Newman,18,6,5,0,1,0,2
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Andrew Raines,10,2,13,0,0,0,3
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Matthew Richardson,16,13,9,1,2,0,1
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Jack Riewoldt,7,7,4,1,2,2,1
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Jay Schulz,7,5,7,1,1,0,3
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Troy Simmonds,7,7,13,1,1,14,2
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Richard Tambling,9,7,6,1,0,0,2
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Will Thursfield,1,0,4,0,0,0,3
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Shane Tuck,9,4,15,0,1,3,3
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Richmond,Matt White,11,3,8,0,1,0,5
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Eddie Betts,10,4,5,5,0,0,4
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Paul Bower,5,4,7,0,0,0,0
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Cameron Cloke,12,10,4,0,1,3,0
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Brendan Fevola,6,3,4,2,1,0,5
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Jeff Garlett,8,5,2,1,1,0,2
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Bryce Gibbs,24,6,6,0,1,0,1
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Richard Hadley,8,6,14,1,0,0,12
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Ryan Houlihan,12,3,17,0,0,0,6
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Sam Jacobs,2,4,6,0,0,20,3
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Michael Jamison,3,3,0,0,0,0,3
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Chris Johnson,8,2,8,0,0,0,2
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Aaron Joseph,7,4,3,0,0,0,4
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Chris Judd,15,1,8,2,1,0,6
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Matthew Kreuzer,5,6,11,1,1,21,4
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Marc Murphy,16,4,12,2,0,0,6
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Mitch Robinson,7,4,6,3,0,0,6
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Jordan Russell,10,7,7,1,0,0,3
2009,1,2009-03-26,M.C.G.,Richmond,Carlton,Carlton,Heath Scotland,11,3,18,0,0,0,2
