season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Tom Bell,11,4,14,1,1,0,7
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Andrew Carrazzo,9,2,9,0,0,0,2
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Patrick Cripps,4,3,10,0,0,1,3
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Ed Curnow,6,4,13,0,0,0,5
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Sam Docherty,15,8,8,0,0,0,5
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Andrejs Everitt,14,8,4,0,1,0,2
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Bryce Gibbs,15,4,11,1,1,0,4
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Lachie Henderson,9,6,1,0,2,0,2
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Kristian Jaksch,5,5,0,1,0,0,1
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Michael Jamison,4,2,4,0,0,0,1
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Liam Jones,4,1,2,2,1,0,4
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Chris Judd,16,5,5,0,0,0,6
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Troy Menzel,12,3,5,2,1,0,3
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Marc Murphy,9,2,12,0,0,0,2
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Sam Rowe,6,3,3,2,0,5,2
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Kade Simpson,13,8,8,1,0,0,2
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Clem Smith,7,4,4,0,0,0,0
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Dale Thomas,1,0,0,0,0,0,0
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Zach Tuohy,6,5,3,1,0,0,0
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Simon White,8,2,6,0,1,0,3
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Cameron Wood,8,2,3,0,1,28,1
2015,1,2015-04-02,M.C.G.,Carlton,Richmond,Carlton,Chris Yarran,14,3,4,0,0,0,2
