season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,David Astbury,10,7,6,0,0,0,0
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Trent Cotchin,14,0,7,0,0,0,6
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Shane Edwards,7,1,5,1,0,0,3
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Brandon Ellis,11,3,10,0,0,0,2
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Corey Ellis,8,3,3,1,0,0,4
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Ben Griffiths,6,4,4,0,0,7,1
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Dylan Grimes,4,3,2,0,0,0,2
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Shaun Hampson,2,1,6,0,1,24,0
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Bachar Houli,15,6,9,0,0,0,0
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Kane Lambert,16,8,12,1,0,0,7
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Sam Lloyd,10,3,4,2,0,0,3
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Dustin Martin,15,2,9,0,0,0,3
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Kamdyn McIntosh,8,4,6,0,0,0,2
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Connor Menadue,7,4,6,2,0,0,4
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Anthony Miles,6,1,13,1,0,0,4
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Steven Morris,2,0,2,0,0,0,2
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Alex Rance,9,7,11,0,0,0,4
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Jack Riewoldt,10,6,8,2,1,0,3
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Daniel Rioli,6,2,1,0,2,0,6
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Jacob Townsend,9,4,7,0,0,1,3
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Ty Vickery,6,4,2,3,2,1,0
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Richmond,Nick Vlastuin,10,6,8,1,0,0,1
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Blaine Boekhorst,11,6,4,0,1,0,3
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Dylan Buckley,2,3,1,0,0,0,3
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Levi Casboult,8,7,4,0,2,1,2
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Patrick Cripps,8,4,19,1,1,1,3
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Ed Curnow,9,1,11,0,0,0,4
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Sam Docherty,13,6,16,0,0,0,2
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Andrejs Everitt,8,5,9,2,0,0,2
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Bryce Gibbs,15,6,15,1,0,2,7
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Nick Graham,13,7,10,0,1,0,3
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Michael Jamison,4,3,5,0,0,0,0
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Sam Kerridge,16,7,8,0,1,0,2
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Matthew Kreuzer,5,2,5,1,0,16,3
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Jed Lamb,9,2,4,1,0,0,1
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Marc Murphy,16,7,11,1,1,0,6
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Andrew Phillips,3,2,2,1,0,21,2
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Sam Rowe,7,6,5,0,0,0,0
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Kade Simpson,21,10,10,0,0,0,1
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Zach Tuohy,13,5,5,0,0,0,1
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Andrew Walker,7,4,2,1,1,0,1
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Jacob Weitering,12,7,5,0,0,0,1
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Simon White,8,2,5,0,0,0,1
2016,1,2016-03-24,M.C.G.,Richmond,Carlton,Carlton,Matthew Wright,7,3,5,3,1,0,3
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Tomas Bugg,5,0,8,0,0,0,3
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Sam Frost,4,4,3,0,1,0,0
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Colin Garland,8,8,3,0,0,0,3
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Jeff Garlett,9,3,3,2,0,0,5
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Max Gawn,6,4,8,0,1,26,2
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,James Harmes,4,2,4,1,0,0,1
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Jesse Hogan,14,6,3,3,0,0,3
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Neville Jetta,7,4,8,0,0,0,5
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Matt Jones,7,6,14,0,0,0,3
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Nathan Jones,14,3,13,0,1,0,4
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Ben Kennedy,12,4,9,1,1,0,1
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Dean Kent,11,5,2,1,0,0,3
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Oscar McDonald,3,3,8,0,0,0,0
2016,1,2016-03-26,M.C.G.,Melbourne,Greater Western Sydney,Melbourne,Tom McDonald,17,8,5,0,0,0,0
