season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Steven Alessio,7,5,8,0,0,10,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Peter Berbakov,11,5,1,1,0,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Darren Bewick,12,3,3,1,2,0,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Justin Blumfield,10,5,3,1,0,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Blake Caracella,4,1,3,1,0,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Dustin Fletcher,13,3,2,0,1,2,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Mark Fraser,18,9,7,2,1,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Damien Hardwick,13,2,7,0,0,0,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Chris Heffernan,8,1,4,1,0,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,James Hird,15,4,10,1,1,1,2
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Mark Johnson,10,1,11,0,0,0,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Judd Lalich,4,4,4,0,0,1,2
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Matthew Lloyd,9,5,2,3,1,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Michael Long,9,6,6,0,1,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Scott Lucas,11,3,8,3,1,1,2
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Mark McVeigh,0,0,2,0,0,0,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Mark Mercuri,10,2,13,2,0,0,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Joe Misiti,11,4,17,0,0,0,2
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Michael Symons,2,2,5,0,0,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Andrew Ukovic,5,1,5,0,1,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Dean Wallis,8,5,7,0,0,1,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Essendon,Barry Young,11,5,10,0,0,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Matthew Allan,8,6,4,0,0,19,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Brett Backwell,2,1,2,0,0,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Simon Beaumont,6,3,4,0,0,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Craig Bradley,21,8,9,0,1,0,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Fraser Brown,0,0,1,0,0,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Scott Camporeale,15,2,4,4,2,0,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Ang Christou,8,1,6,0,0,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Ron De Iulio,12,2,1,0,0,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Anthony Franchina,8,5,6,0,2,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Aaron Hamill,8,4,3,1,1,1,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Anthony Koutoufides,14,9,10,0,0,1,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Matthew Lappin,12,7,3,0,2,0,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Glenn Manton,4,9,9,0,1,0,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Andrew McKay,9,3,3,0,0,0,2
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Justin Murphy,16,10,17,0,0,0,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Brett Ratten,12,2,12,0,0,0,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Dean Rice,12,3,6,0,1,0,1
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Michael Sexton,7,6,9,0,0,1,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Stephen Silvagni,17,8,4,2,2,1,0
1999,1,1999-03-25,M.C.G.,Essendon,Carlton,Carlton,Ben Thompson,3,1,1,0,0,0,0
