season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Winston Abraham,10,1,5,1,1,0,1
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Brady Anderson,6,2,7,0,0,0,0
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Glenn Archer,18,5,3,1,0,1,0
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Peter Bell,18,2,6,1,0,0,0
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,John Blakey,11,7,8,0,0,0,0
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Mathew Capuano,7,3,3,0,0,11,0
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Wayne Carey,14,5,4,1,2,1,1
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Glenn Freeborn,5,2,5,0,1,0,2
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Shannon Grant,8,2,3,2,0,0,0
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Chris Groom,3,2,1,1,0,0,1
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Evan Hewitt,0,0,2,0,0,4,1
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,David King,18,1,0,0,0,0,1
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Mick Martyn,5,3,5,0,0,1,2
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Jason McCartney,6,1,6,0,0,2,1
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Byron Pickett,6,1,0,0,0,0,0
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Martin Pike,11,1,5,1,0,0,1
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Anthony Rock,6,2,5,0,0,0,1
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Robert Scott,8,5,4,0,1,0,0
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Craig Sholl,17,9,5,5,2,0,0
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Adam Simpson,8,1,5,1,0,0,3
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Anthony Stevens,27,8,6,1,1,1,4
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,North Melbourne,Scott Welsh,5,3,0,0,1,0,1
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,West Coast,Jason Ball,12,6,12,4,0,7,0
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,West Coast,Drew Banfield,8,1,7,0,0,0,3
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,West Coast,Michael Braun,18,5,9,1,0,0,2
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,West Coast,Ben Cousins,10,4,17,2,0,0,1
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,West Coast,Tony Evans,1,0,6,0,0,0,2
1998,1,1998-03-27,M.C.G.,North Melbourne,West Coast,West Coast,Michael Gardiner,4,4,6,0,0,23,0
